dragon,intelligence,wingspan,scales,mountain
1,121.75183799941362,16.99629730777815,chromatic,A
2,87.69012360636803,84.96189680043608,metallic,A
3,43.750735126356574,72.56593182357028,chromatic,A
4,138.05969775563455,87.05354416859336,metallic,A
5,64.9231633265199,69.59005021839403,chromatic,A
6,132.50105023580312,50.98411361617036,metallic,A
7,76.94963699904658,37.373554745689034,chromatic,A
8,138.80230105338475,86.41587908775546,metallic,A
9,57.315562150998545,85.23273822083138,chromatic,A
10,69.45840567322276,40.86031134752557,metallic,A
11,55.14038802230552,17.124859547242522,chromatic,A
12,90.61375040360724,47.55953979305923,metallic,A
13,84.36114138584082,44.265640889527276,chromatic,A
14,76.02293873423042,18.47865330800414,metallic,A
15,108.837014771289,48.484486545436084,chromatic,A
16,96.9014749340439,77.4293432077393,metallic,A
17,120.6192726481886,90.13056363817304,chromatic,A
18,111.11935106583334,37.432039599865675,metallic,A
19,92.45252959731364,29.041645352728665,chromatic,A
20,89.25283825197926,78.88617068715394,metallic,A
21,110.94682076143731,90.74423539103009,chromatic,A
22,96.4341053175986,58.082520412048325,metallic,A
23,115.03522234665942,83.8902416867204,chromatic,A
24,118.13964499485112,40.55829007783905,metallic,A
25,140.00755203458198,83.42646785778925,chromatic,A
26,123.22914918880414,65.81843399815261,metallic,A
27,80.3031779613097,79.36604457092471,chromatic,A
28,91.82939196108859,78.4743571090512,metallic,A
29,80.44019553928372,61.62821204261854,chromatic,A
30,72.03749857880172,81.08629535930231,metallic,A
31,88.84068663093227,33.80183985643089,chromatic,A
32,130.9036534524316,92.038931542309,metallic,A
33,74.02689213791032,58.87779752840288,chromatic,A
34,137.41765250719044,83.11845096643083,metallic,A
35,141.98442151264288,52.15340682771057,chromatic,A
36,46.24433150779683,22.764187797671184,metallic,A
37,60.63706447894259,27.352222776971757,chromatic,A
38,76.72365958190962,50.64779930678196,metallic,A
39,74.72882571284566,25.730798763688654,chromatic,A
40,116.76910135498572,21.299386266851798,metallic,A
41,75.66196732060686,63.669356879079714,chromatic,A
42,18.789046900759644,50.15949901333079,metallic,A
43,63.72852712262531,71.68504557502456,chromatic,A
44,120.67936899277983,52.80140976770781,metallic,A
45,120.69863295060094,58.82104911701754,chromatic,A
46,127.61201814105726,21.00159634812735,metallic,A
47,125.93518618666332,63.710392468841746,chromatic,A
48,74.1996438627159,42.88228578213602,metallic,A
49,77.64797771438826,44.943710658699274,chromatic,A
50,67.81820016199741,27.131950192153454,metallic,A
51,80.16165327375545,20.67974337702617,chromatic,A
52,55.07175502577417,61.96187750133686,metallic,A
53,57.57394062052373,94.38522794144228,chromatic,A
54,88.10942189404206,87.73621762241237,metallic,A
55,58.66785675700482,62.441187135409564,chromatic,A
56,131.3909624152923,90.31543688825332,metallic,A
57,48.11439908506872,43.17117722146213,chromatic,A
58,54.33024244244567,21.93824122310616,metallic,A
59,93.05634972240402,34.91877342853695,chromatic,A
60,124.54832377118731,27.209121899446473,metallic,A
61,72.41227181229175,63.77600217843428,chromatic,A
62,136.08310449207383,81.82895138906315,metallic,A
63,79.14737897757722,58.51578736351803,chromatic,A
64,122.04528538038565,65.86883186595514,metallic,A
65,187.74341056613528,72.29686524462886,chromatic,A
66,126.74353034992993,34.146747562335804,metallic,A
67,123.78322380184213,72.37264685076661,chromatic,A
68,139.62716493192397,50.38099048030563,metallic,A
69,120.52570250492836,51.50456899218261,chromatic,A
70,76.60077021026902,94.18451730115339,metallic,A
71,93.31299245111286,62.06520180916414,chromatic,A
72,82.117777758560493,19.51051393779926,metallic,A
73,82.221146502198,77.2611819175072,chromatic,A
74,169.76727309633455,44.681957449996844,metallic,A
75,70.63081310891839,79.90108776697889,chromatic,A
76,75.86017102688567,79.89176164590754,metallic,A
77,113.38579783940389,79.3203555541113,chromatic,A
78,50.004394661627224,37.426548996940255,metallic,A
79,110.89743770677573,16.212957421550527,chromatic,A
80,133.91634849059702,70.35847352864221,metallic,A
81,119.46016835884606,75.4867809950374,chromatic,A
82,114.87442272364237,71.6469834370073,metallic,A
83,105.19770217467547,85.83976555569097,chromatic,A
84,176.48031637701985,40.884775643702596,metallic,A
85,110.53302188184388,22.54108631168492,chromatic,A
86,89.0119069688887,34.96678259805776,metallic,A
87,78.7205758975703,95.95202745124698,chromatic,A
88,88.41970537490778,91.29195828153752,metallic,A
89,116.07327281707737,33.71715008909814,chromatic,A
90,132.29837097942652,66.8046136116609,metallic,A
91,78.80553532151076,22.34404180641286,chromatic,A
92,84.98805394013351,65.40088015818037,metallic,A
93,65.86347047620173,41.08062331657857,chromatic,A
94,169.82753367504964,67.28244405658916,metallic,A
95,119.79773482396402,36.725454272702336,chromatic,A
96,140.6163772111108,19.92257547425106,metallic,A
97,127.0408076115632,18.65624969266355,chromatic,A
98,117.21392036125714,67.2845838109497,metallic,A
99,117.86713694374092,22.819430235540494,chromatic,A
100,103.37866433738958,15.25799472257495,metallic,A
101,128.32144478143792,32.38702729693614,chromatic,B
102,138.45695687401894,15.87813395424746,metallic,B
103,160.5011955306679,33.49097613035701,chromatic,B
104,269.7421546581032,59.29008389124647,metallic,B
105,131.29784279785764,32.901537102879956,chromatic,B
106,250.2372164835447,77.8581267723348,metallic,B
107,228.93852103462163,80.27191267628223,chromatic,B
108,200.23730155512322,21.698733150027692,metallic,B
109,206.40010374806016,38.320955536328256,chromatic,B
110,195.56025835041973,32.287064601667225,metallic,B
111,136.19981497237853,21.118265572935343,chromatic,B
112,189.92718288551853,16.58682477264665,metallic,B
113,186.3948129512103,50.76214891998097,chromatic,B
114,220.27741618321457,44.08655573055148,metallic,B
115,217.0481961704092,80.4202785959933,chromatic,B
116,217.1041370565298,45.338602581992745,metallic,B
117,213.72817569617538,55.064407718135044,chromatic,B
118,201.30801274953842,75.82772631454282,metallic,B
119,218.94794868805363,77.83443303895183,chromatic,B
120,226.40688291059826,32.62661695992574,metallic,B
121,198.85519431980987,56.913568710908294,chromatic,B
122,236.43151795550634,55.258889774559066,metallic,B
123,116.94118127366772,14.819844628451392,chromatic,B
124,194.16154468565313,46.18152948189527,metallic,B
125,191.91409280973073,26.014305945253,chromatic,B
126,320.4210203257761,88.79054587590508,metallic,B
127,153.6069431409202,49.37216143403202,chromatic,B
128,238.03998219515938,73.39801143947989,metallic,B
129,312.19975890608424,81.55941444099881,chromatic,B
130,201.07261550518925,48.08715424896218,metallic,B
131,259.3512636456967,91.11899775755592,chromatic,B
132,190.9105421962198,31.92811917955987,metallic,B
133,238.94182772386404,84.47976748319343,chromatic,B
134,232.76359721432155,54.41696972353384,metallic,B
135,245.99452849855257,86.76699790777639,chromatic,B
