dragon,intelligence,wingspan,scales,mountain
1,198.1127886800254,40.46474469383247,chromatic,A
2,184.83531968479224,50.16925358772278,metallic,A
3,304.2829070578581,82.23201525118202,chromatic,A
4,174.78800369668113,28.436053223442286,metallic,A
5,216.5244144687097,55.43438984733075,chromatic,A
6,191.83379989001864,52.42395396786742,metallic,A
7,225.5843114718441,51.66304162540473,chromatic,A
8,263.5038679462182,88.52956402231939,metallic,A
9,307.3219351765592,67.06962185585871,chromatic,A
10,139.36913864057618,34.400908812414855,metallic,A
11,213.77961744975428,62.26467760489322,chromatic,A
12,154.42202687166605,16.170464634429663,metallic,A
13,198.62003619706036,49.73384351935238,chromatic,A
14,248.03952196464343,51.74384740763344,metallic,A
15,313.3594689359218,76.48863941826858,chromatic,A
16,276.397422153882,49.16091620665975,metallic,A
17,164.36909562015995,66.47474608407356,chromatic,A
18,215.57520054133488,75.16330210049637,metallic,A
19,183.8275133117512,46.56224402762018,chromatic,A
20,217.81345118814303,67.60698319482617,metallic,A
21,160.04388420506297,18.85165687277913,chromatic,A
22,219.70293490946713,53.208386215846986,metallic,A
23,215.6372140837004,35.869348901556805,chromatic,A
24,293.67316336097616,92.08889202866703,metallic,A
25,199.87103153450545,23.43748169695027,chromatic,A
26,236.30953948303753,55.37843793281354,metallic,A
27,150.89495200805587,13.553493511863053,chromatic,A
28,219.95979825293688,51.21275366959162,metallic,A
29,191.2917113776929,35.39091489999555,chromatic,A
30,163.2775174795002,14.846982762450352,metallic,A
31,261.0561086023462,47.39291508705355,chromatic,A
32,143.83259759058527,21.947599230334163,metallic,A
33,266.4085856350938,91.36021904484369,chromatic,A
34,124.49753742095821,17.01287988713011,metallic,A
35,290.4676325824032,91.03352828673087,chromatic,A
36,146.94912614654186,16.289949735393748,metallic,A
37,287.7454965465136,84.89181350171566,chromatic,A
38,247.79635437150856,61.953189122723415,metallic,A
39,169.96608420569174,24.308417396852747,chromatic,A
40,240.68233505487748,60.58643750427291,metallic,A
41,138.69116455958547,15.606194915715605,chromatic,A
42,178.47034496939213,46.563087213551626,metallic,A
43,136.17778552310145,27.97893440257758,chromatic,A
44,142.96330838204653,60.44942491152324,metallic,A
45,296.0333622246548,87.16370765119791,chromatic,A
